Fixed Asset,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1,1.2,1.4,1.8,2.4,3.1,3.8,4.2,4.7,5.5,6.4,7.3,8.6,10,11.7,13.4,15.2,17.6,20.7,24.6,29.3,33.5,37.6,41.1,43.4,44,44.4,45.4,51.3,61.4,72.4,78.4,82.8,86.2,91,94.3,97.2,104.5,112.3,119.2,121,129.3,139.7,148.1,153.4,161.5,174.7,186.2,200.3,215.3
      Nonfinancial,158.9,189.5,207.6,212.2,238.1,258.1,273.7,288.4,297.7,327.8,364.2,391.7,400.1,416.8,425.9,436.9,450.8,465.8,491,525.2,571.7,621,683.1,753.2,828.7,904.8,979.4,1102.9,1346.9,1492.3,1637.6,1818.2,2061.7,2372.9,2720.5,3075.9,3268,3361.3,3556.4,3741.7,3894.9,4087.2,4334.2,4578,4830.9,4951.5,5123.7,5369.5,5669.7,6012.5,6331.4,6703.4,7060.9,7470,7997.7,8388.8,8648.9,8907.4,9638.4,10496.8,11353.5,11987,12779.1,12418.8,12802.9,13458,13948.8,14534.3,15247,15511.1,15915.3,16512.8,17328.2,18001.3
        Equipment,39.2,47.2,57.1,59.2,68.4,75.3,79.6,86.7,90,99.6,113.9,125.5,129.5,136.3,141.8,145,151.4,158.3,168.3,182.1,204,225,249.5,276,303.2,324.5,349.8,388.1,478.5,549.7,607.9,685.6,782.1,905.2,1052.4,1169.7,1238.1,1274.7,1340.2,1415.3,1490.2,1551.7,1633.6,1717.4,1811.8,1859.7,1913.8,1992.5,2104.4,2246.9,2366.4,2475.1,2580.1,2718.1,2886,2959.5,2966.1,2973.1,3121.6,3254.9,3477.9,3631.3,3815.1,3755,3831.7,4010.6,4187.9,4318.9,4482.4,4591.1,4692.2,4862.4,5103.9,5284.3
        Structures,113,134.5,142.2,144.4,160.3,172.7,183.1,189.2,194.1,213,232.9,246.7,249.4,257.2,259,264.6,270.3,275.9,288.6,305.7,326.1,349.2,381.1,417.9,460.1,510.5,554.3,630.8,772.8,839,916.5,1007.8,1139.9,1307.8,1485.3,1696.6,1795.1,1825.8,1925.7,2006.6,2056.7,2153.5,2287.8,2411.6,2532.2,2566.9,2649.8,2782.6,2926.5,3075.2,3220.4,3412.4,3594.1,3767.4,4026.8,4299,4518.5,4708.8,5238.4,5876.9,6425.8,6799.6,7331.7,6992.1,7229.2,7613.7,7855.8,8199,8652.8,8746.6,8931.6,9210.2,9620.1,9945.9
        Intellectual property products,6.7,7.8,8.4,8.6,9.5,10.1,11,12.4,13.6,15.2,17.5,19.5,21.2,23.3,25.2,27.2,29.1,31.6,34.2,37.5,41.6,46.8,52.5,59.3,65.3,69.7,75.3,84,95.6,103.6,113.3,124.8,139.7,159.8,182.8,209.6,234.8,260.7,290.4,319.8,348,382,412.9,448.9,486.9,525,560.1,594.4,638.8,690.5,744.6,815.9,886.7,984.5,1084.8,1130.3,1164.3,1225.5,1278.5,1365,1449.8,1556.2,1632.4,1671.7,1742,1833.7,1905.1,2016.3,2111.8,2173.4,2291.5,2440.2,2604.2,2771
  Noncorporate,56.6,69.6,76.7,77.8,90.3,99.5,103.6,106.2,108,118.9,129.4,136.3,138.2,143.5,146.7,152.3,159.7,167.5,179.2,192.6,209.3,224.5,245,268.6,294.9,326.7,357.3,400.6,475.5,510.9,551.8,611,688.1,795.8,906,1020.9,1091.1,1130.5,1199.3,1268.6,1343.4,1425.6,1524.4,1619.1,1692.8,1720.7,1766.6,1837,1928.5,2002.3,2076.2,2182.8,2313.1,2455.1,2620.9,2767.9,2899.8,3032.8,3319.5,3644.3,3972.2,4212.2,4477.1,4352.4,4422.7,4594.2,4736.6,4961.2,5164.6,5298.5,5468.7,5694,6005.9,6248.9
    Equipment,13.3,17.4,22.1,24.2,29,32.1,33.5,35.7,36.1,39.4,42.1,44.7,45.7,47.2,47.8,47.9,48.9,50.4,52.7,55.8,60.7,64.9,69.4,75,81.2,86.3,92,102.8,125.5,140.3,153.9,170.4,192.9,223.7,252.8,282.1,295.6,300.4,310.2,320.2,333.6,345.8,365.3,383.1,395,399.5,402.9,410.9,425.1,441.3,453,467,488.9,516.8,552,580.6,610.3,636.8,687.9,734.6,795.5,847.9,907.9,916,944.9,990.8,1035.8,1082.2,1134,1166.5,1195.8,1229.1,1281,1321.3
    Structures,40.8,49.4,51.7,50.6,58,63.9,66.5,66.7,67.8,75.3,82.7,86.7,87.3,90.6,93,98,104.1,110,119,128.7,140,150.5,165.9,183.1,202.4,228.8,253.3,285.1,336.1,355.8,382.1,423.8,476.3,550.5,628.6,710.8,764.9,796.8,852.8,909,966.6,1030.7,1101.3,1169,1221.7,1236.1,1269.7,1325,1394.5,1444.5,1500.1,1583.4,1679.6,1777.5,1891,2000.8,2092.6,2186.1,2410.3,2673.6,2926.5,3095.4,3284.2,3139.6,3166.7,3274.4,3354.9,3508.8,3642.6,3729.6,3847.9,4017.3,4252.2,4429.4
    Intellectual property products,2.5,2.8,3,3.1,3.4,3.5,3.6,3.8,4,4.3,4.6,4.9,5.2,5.7,5.9,6.4,6.7,7.2,7.6,8,8.5,9.1,9.7,10.5,11.2,11.6,12,12.7,13.9,14.8,15.8,16.8,18.8,21.5,24.6,28.1,30.7,33.3,36.3,39.5,43.3,49.1,57.8,67,76.1,85.1,94,101.1,109,116.5,123.1,132.5,144.6,160.9,177.9,186.5,196.9,209.9,221.2,236.2,250.2,269,285,296.8,311.1,329,345.8,370.1,388.1,402.4,425.1,447.6,472.7,498.3
    By noncorporate industry group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Farms,15.8,19.5,22.1,23.1,26.8,29.3,30.7,31.1,30.9,33.1,34.4,35.4,35,35.7,36,36.6,37.7,39.2,41.2,43.7,46.9,49.9,53.4,57.2,61.8,67.1,71.5,80.1,97.1,106.9,117.7,131.5,148.4,173,193.2,211,217.8,218.4,220.1,217.6,217.8,217.1,220.3,224.7,228.8,228.1,227.3,231.3,238.3,243.3,248,255.9,263.5,266.7,271.2,275.4,277.9,283.8,301.8,321.2,336.3,344.3,352.4,337.6,337.9,348.1,365.1,392,420.6,430.2,440.3,448.4,463.1,470.5
        Equipment,4.7,6,8.1,9.3,11.1,12.2,13,13.6,13.5,14.2,14.3,14.9,15.4,15.9,16,15.9,16.3,16.9,17.6,19,20.7,22.3,23.6,25.1,27,28.6,30.2,34.7,43.8,50,55.9,62.3,70,82.1,90.8,100.1,102,99.5,97.1,92.9,90.4,86.8,87.2,89,91.4,92,90.5,91,93.1,96.3,98.4,102.4,105.6,104.3,102.8,102,102,103.5,108.6,112,114.8,118.2,125.8,128,131.4,139.1,150.4,164.2,181.3,184.4,182.4,181,184.5,185.9
        Structures,11,13.4,14,13.8,15.7,17,17.7,17.5,17.5,18.9,20.1,20.5,19.6,19.9,20,20.6,21.4,22.3,23.6,24.8,26.2,27.6,29.8,32.1,34.8,38.5,41.3,45.5,53.3,56.9,61.8,69.2,78.4,90.9,102.4,110.9,115.9,118.9,123,124.8,127.5,130.2,133.1,135.7,137.3,136,136.6,140,145,146.7,149.3,153.3,157.6,162.2,168.2,173.3,175.9,180.1,193.1,209.1,221.5,226,226.6,209.6,206.5,208.9,214.7,227.8,239.3,245.7,257.9,267.3,278.6,284.5
        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
      Manufacturing,2.1,2.6,2.9,2.9,3.2,3.5,3.5,3.6,3.6,4,4.4,4.7,4.7,4.8,4.9,4.9,5,5.1,5.2,5.4,5.6,5.8,6,6.4,6.7,7.1,7.5,8.1,9.5,10.3,11,12,13.9,16.3,18.6,20.5,21.6,22.3,23.3,24.5,25.7,26.9,30.4,33.6,36.7,38.9,41.3,43.6,47.2,51.3,55.7,60.7,67.3,74.8,83.8,92.1,99.3,105.8,114.2,124.1,133.4,144.5,156.9,158.7,164.9,175.6,187,200.7,211.5,218.6,227.4,239.9,254.6,267.4
        Equipment,1,1.2,1.5,1.5,1.7,1.8,1.8,1.9,1.9,2.1,2.3,2.4,2.5,2.6,2.6,2.5,2.6,2.6,2.6,2.7,2.8,2.8,2.9,3,3.2,3.2,3.3,3.5,4.1,4.7,5.1,5.5,6.3,7.3,8.4,9.1,9.6,9.8,10.2,10.9,11.5,12.2,12.9,13.5,14.3,14.6,15.1,15.7,17,18.8,20.5,22.2,24.8,28.1,32.3,36.5,40.9,44.5,48.7,52.9,57.4,61.8,67.6,69.2,72.6,78.3,84.9,90.8,95.8,99.3,103.1,107.6,113.1,117.3
        Structures,1.1,1.3,1.3,1.3,1.4,1.5,1.6,1.5,1.5,1.7,1.8,1.9,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.3,2.3,2.5,2.7,2.9,3.2,3.4,3.7,4.3,4.5,4.8,5.3,6.2,7.2,8.2,9,9.4,9.7,10.1,10.4,10.8,11.2,11.6,12.1,12.4,12.4,12.7,13.1,13.8,14.3,15,16,17.2,18.6,20.3,22.5,24.3,25.1,27.7,30.4,32.7,35.5,39.2,37.7,38.3,40.4,42.7,46.3,49,51.4,53,56.4,61.1,65.1
        Intellectual property products,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.2,1.5,1.8,2.1,2.4,2.6,2.8,3,3.2,3.4,3.5,5.9,8.1,10,11.8,13.5,14.7,16.4,18.2,20.1,22.5,25.2,28.1,31.2,33.1,34.1,36.2,37.8,40.7,43.2,47.2,50.1,51.7,54.1,57,59.4,63.7,66.6,67.8,71.4,75.8,80.4,85
      Nonfarm nonmanufacturing,38.7,47.5,51.7,51.9,60.3,66.8,69.4,71.5,73.4,81.8,90.6,96.2,98.5,102.9,105.8,110.8,117,123.3,132.8,143.5,156.8,168.9,185.6,205,226.4,252.5,278.3,312.4,368.9,393.6,423.1,467.5,525.8,606.5,694.1,789.4,851.6,889.9,956,1026.5,1099.9,1181.6,1273.7,1360.8,1427.3,1453.8,1498.1,1562.1,1643,1707.7,1772.5,1866.2,1982.4,2113.6,2265.9,2400.4,2522.5,2643.3,2903.5,3199,3502.5,3723.4,3967.8,3856.1,3919.9,4070.5,4184.5,4368.4,4532.6,4649.8,4801,5005.8,5288.2,5511
        Equipment,7.6,10.1,12.5,13.4,16.2,18.1,18.7,20.2,20.8,23.1,25.5,27.3,27.8,28.8,29.3,29.4,30.1,31,32.5,34.2,37.3,39.8,42.9,46.9,51.1,54.4,58.5,64.6,77.5,85.6,93,102.6,116.7,134.4,153.6,172.8,184,191.2,202.9,216.4,231.7,246.7,265.2,280.6,289.3,292.9,297.4,304.1,315,326.2,334,342.4,358.5,384.4,416.9,442.1,467.4,488.8,530.7,569.6,623.3,667.9,714.6,718.8,741,773.4,800.5,827.3,856.9,882.7,910.4,940.5,983.4,1018
        Structures,28.7,34.7,36.4,35.5,40.8,45.4,47.3,47.7,48.8,54.7,60.8,64.3,65.9,68.9,71.1,75.5,80.7,85.7,93.3,101.8,111.6,120.6,133.6,148.3,164.8,187.2,208.6,235.9,278.5,294.3,315.5,349.3,391.7,452.4,518,591,639.6,668.2,719.7,773.8,828.3,889.3,956.6,1021.3,1072,1087.7,1120.3,1171.8,1235.7,1283.5,1335.8,1414.1,1504.8,1596.7,1702.5,1805,1892.5,1980.8,2189.5,2434.1,2672.3,2833.8,3018.4,2892.3,2921.9,3025.1,3097.5,3234.8,3354.3,3432.5,3537,3693.5,3912.5,4079.7
        Intellectual property products,2.4,2.7,2.9,3,3.2,3.3,3.4,3.6,3.8,4,4.3,4.6,4.8,5.3,5.5,5.9,6.2,6.6,7,7.5,7.9,8.5,9.1,9.8,10.5,10.9,11.2,11.8,12.9,13.7,14.6,15.6,17.3,19.8,22.5,25.6,28.1,30.5,33.3,36.3,39.9,45.6,51.9,58.9,66,73.2,80.3,86.2,92.4,98.1,102.7,109.7,119.1,132.5,146.5,153.4,162.7,173.7,183.3,195.4,206.9,221.7,234.8,245,257,272,286.4,306.4,321.4,334.5,353.7,371.8,392.2,413.2
    By noncorporate legal form of organization:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Sole proprietorships,25.5,31.6,35.6,36.4,42.1,46.1,47.8,48.8,49.1,53.4,57.3,59.7,60.2,61.9,62.5,63.8,66,68.4,72.2,76.6,82.3,87.3,94,101.7,110.1,120,129,143.7,171.2,185.1,200.8,223,253.2,294,333.7,377.9,399,406.3,424.1,439.4,456,474.2,498.7,520.2,535.9,536.3,542.5,558.8,582.8,603.2,621.5,646.4,672.6,695.5,720.8,738.3,750.6,763.2,814.8,875.4,927.6,955.1,988.6,935.2,929,947.7,962.3,995.2,1031,1042.2,1061,1084.7,1124,1151.9
        Equipment,7.9,10.3,13.3,14.7,17.5,19.3,20.2,21.4,21.4,23.2,24.5,25.9,26.5,27.2,27.4,27.2,27.7,28.4,29.5,31.2,33.7,35.9,38.1,40.9,44,46.6,49.3,55.4,67.4,75.1,82.5,91.6,104.4,122,136.7,152.2,158.1,159.1,162.1,163.9,167.5,170.1,177,182.5,185.7,185.7,185.9,189.6,197.1,205.4,211,217,221.3,223.5,224.9,222.3,220.1,218.7,225.2,229.9,235.8,239.3,244.8,238,236.2,239.6,244.2,251.1,261.3,262.2,260.8,261.7,268.8,273
        Structures,16.6,20.1,21,20.4,23.2,25.3,26.1,25.8,25.9,28.4,30.9,31.8,31.5,32.3,32.8,34.1,35.7,37.3,39.8,42.4,45.4,48.1,52.4,57.1,62.3,69.5,75.7,84.2,99.5,105.6,113.7,126.6,143.6,166.1,190.3,218.1,232.8,238.3,252.1,264.7,276.6,290.3,306.5,321,331.8,330.8,335.5,346.6,361.5,372,383.4,400.3,419.5,436.9,457.7,477.1,490.8,503.8,548,602.2,646.8,669.2,697.4,652.2,648.7,664.7,675.9,700.2,724.2,733,750.6,772.8,803.5,825.4
        Intellectual property products,1,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.1,2.1,2.3,2.4,2.5,2.6,2.7,2.9,3,3.1,3.3,3.4,3.6,3.9,3.9,4,4.1,4.3,4.5,4.7,4.8,5.3,5.9,6.7,7.5,8.2,8.9,9.9,10.9,12,13.8,15.2,16.8,18.4,19.8,21.2,22.6,24.2,25.8,27.1,29.1,31.7,35.1,38.1,38.9,39.7,40.7,41.6,43.3,45,46.6,46.3,45,44.1,43.3,42.2,43.9,45.5,47,49.5,50.2,51.7,53.5
      Partnerships,15.5,19,21,21.1,24.3,26.6,27.4,28.1,28.4,31.1,33.8,35.3,35.7,37,37.6,38.7,40.3,42,44.8,48.2,52.5,56.3,61.1,67,73.3,80.7,87.6,98,116.3,124.8,134.3,148.2,167.6,196.5,228.4,267.6,292,304.2,330.4,360.7,389.5,421.4,461.2,497.9,522.1,528.4,537.3,556.5,581.8,604.7,627.5,658.4,699.2,748.9,810.6,865.9,915.6,961.4,1061.7,1181.5,1304.1,1402.4,1509.7,1469.8,1501,1564.3,1618.5,1698.5,1784.2,1833.7,1901.4,1990,2104,2199.3
        Equipment,4.4,5.6,7,7.6,9,10,10.3,10.9,11.1,12.1,13,13.8,14,14.5,14.6,14.6,14.9,15.4,16.1,17.1,18.8,20.1,21.6,23.5,25.5,27.1,28.4,30.9,37,40.6,43.6,47.5,53.5,61.9,70.5,79.7,84.7,86.3,90.2,95,100.3,105.3,112.9,119.3,121.6,121.3,120.3,121.8,125.4,130.3,134.7,139.1,147.5,161.4,180.8,197.5,212.8,226.6,253,278.9,313.1,341.6,369,369.2,381.8,400.1,420,439.6,462.3,474.1,485.7,501.7,524.2,540.9
        Structures,10.1,12.1,12.6,12.1,13.7,15,15.5,15.3,15.4,17,18.6,19.2,19.3,19.8,20.2,21.2,22.3,23.5,25.4,27.6,30.1,32.4,35.6,39.3,43.4,49.2,54.7,62.5,74.4,79.2,85.4,95.2,108.2,128,150.5,179.6,198.5,208.4,229.7,254.1,276.4,301.2,329,354.8,372.2,374.4,380.3,394.5,412.5,426.9,441.9,464.5,491.4,518.6,551.2,583.4,611,635.5,703,788,867.7,925.6,997.4,952.8,965.6,1004.1,1032.6,1082,1135.7,1165.5,1209.9,1270.6,1348.8,1413
        Intellectual property products,1.1,1.3,1.4,1.4,1.6,1.6,1.7,1.8,1.9,2,2.2,2.3,2.4,2.6,2.7,2.9,3.1,3.2,3.3,3.5,3.6,3.8,3.9,4.2,4.4,4.4,4.5,4.6,4.9,5,5.3,5.4,5.9,6.6,7.4,8.3,8.9,9.5,10.5,11.6,12.9,14.9,19.3,23.8,28.3,32.7,36.7,40.2,43.8,47.5,50.8,54.8,60.4,68.8,78.6,85,91.8,99.2,105.7,114.6,123.4,135.2,143.3,147.9,153.5,160.1,165.9,177,186.2,194.1,205.7,217.6,231,245.4
      Nonprofit institutions,14.2,17.2,18,18,21.1,23.6,24.9,25.5,26.6,29.9,33.3,35.8,36.8,38.8,40.6,43.6,47.1,50.4,55.2,60.4,66.6,72.3,80.5,89.7,99.8,113.2,126.9,143.2,169.1,179.5,192.9,213.5,238.5,271.8,306.2,334.2,356.8,375.8,399.1,419.1,445.6,475.1,506,539.1,570.1,590.1,619.6,651.8,691.3,719.1,749.7,797.3,857.3,922,993.8,1061.5,1125.4,1194.9,1319.4,1453.8,1593,1692.8,1801.7,1771.5,1809,1891.2,1960.4,2067.6,2143.8,2212.8,2289.6,2392.4,2536.8,2645.5
        Equipment,0.5,0.7,0.9,1,1.3,1.5,1.6,1.9,2,2.3,2.6,2.9,3.1,3.4,3.6,3.8,4.1,4.3,4.7,5.1,5.6,6.1,6.6,7.3,8,8.7,10.2,12.1,15.9,18.6,21.1,23.7,27,30.6,35,38.9,41.3,43.8,46.6,48.8,52.5,56.7,61.3,66.4,72.1,76.8,81,83.3,85.8,88.5,89.9,93.1,102.2,112.9,125.9,138.8,153.4,166.2,182.4,196.2,213.5,230.1,253.5,267,283.3,305.8,325.3,344.5,362.5,382.2,400.3,415.8,436.7,455.2
        Structures,13.3,16.2,16.8,16.7,19.5,21.7,22.9,23.2,24.1,27.2,30.2,32.3,33.1,34.7,36.3,38.9,42,44.9,49.2,53.8,59.3,64.2,71.6,79.8,88.9,101.4,113.3,127.1,148.6,155.8,166,183.4,204,232.4,260.8,283.3,302,317.3,336.8,353.6,375,398.2,421.7,446.7,469,481.2,503,530.8,565.2,588.2,615.5,656.5,703.7,753.3,808,861.3,907.7,959.9,1064.1,1180.5,1298.9,1376.8,1454.3,1402.5,1414.6,1462.8,1501,1577.6,1628.9,1673.1,1723.4,1801.7,1916,1997.9
        Intellectual property products,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.2,1.3,1.5,1.7,2,2.3,2.6,2.9,3.1,3.5,4,4.6,5.1,5.7,6.4,7.5,8.8,10.4,12.1,13.4,14.6,15.7,16.7,18.1,20.2,23,26,28.9,32.1,35.6,37.7,40.3,42.4,44.3,47.7,51.5,55.8,59.9,61.4,64.2,68.8,72.8,77.1,80.6,85.9,93.9,102,111.1,122.7,134,145.4,152.4,157.5,165.9,174.9,184.1,192.5
      Households,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.1,2.4,2.6,3,3.4,3.5,3.7,3.9,4.2,5.1,6,6.9,7.9,8.7,10,11.8,13.4,15,16.7,18.3,19.9,20.5,20.8,21.6,22.6,23.4,24.4,25.8,27.9,30.1,32.3,34,36.3,37.4,41.3,45.3,49.7,53.7,58.9,57.1,57.9,60.2,62.5,66.3,69.9,73.9,79,86.4,94.6,101.7
        Equipment,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.4,2.3,2.4,2.5,2.6,3,3.1,3.4,3.6,3.9,4.2,4.6,4.6,4.9,5.1,5.5,6.3,6.8,7.3,8,8.6,9.3,9.8
        Structures,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.4,2.5,2.7,3,3.3,4,4.8,5.7,6.6,7.3,8.5,10,11.5,13,14.5,16,17.4,18,18.5,19.3,20.3,21.1,22.1,23.5,25.5,27.6,29.7,31.4,33.2,34.3,37.8,41.4,45.6,49.3,54.1,52.2,52.7,54.8,56.7,59.6,62.6,66.1,70.4,77.1,84.6,91.2
        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
      Tax-exempt cooperatives,1,1.4,1.8,2,2.4,2.7,3,3.2,3.4,3.8,4.3,4.6,4.7,4.9,5.1,5.2,5.4,5.6,5.9,6.2,6.5,7.2,7.8,8.4,9.4,10.4,11.2,12.8,15.5,17.9,20.1,22.4,24.6,28.4,31.8,34.3,35.4,35.5,35.7,37.6,38.9,40,41.9,43.5,44.8,45.4,46.5,48.3,50,51.9,53.1,54.9,56.1,58.7,63.4,68.2,71.9,75.8,82.3,88.3,97.7,108.2,118.1,118.8,125.8,130.8,132.9,133.7,135.7,135.9,137.7,140.5,146.6,150.5
        Equipment,0.5,0.6,0.8,0.8,1,1.1,1.2,1.3,1.3,1.4,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2,2,2.2,2.3,2.5,2.7,2.9,3.1,3.3,3.5,4.2,5.1,5.8,6.7,7.1,8.2,9.4,10,10.1,9.9,9.7,10.8,11.4,11.6,11.9,12.5,13.1,13.2,13.5,13.9,14.3,14.8,15.1,15.4,15.7,16.5,17.9,19.4,20.9,22.2,23.9,25.9,29.2,32.7,35.9,37.2,38.7,40.3,40.7,40.8,41.1,40.7,40.9,41.2,42.1,42.5
        Structures,0.6,0.8,1,1.1,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.8,3,3.2,3.2,3.3,3.5,3.7,3.9,4.1,4.3,4.8,5.2,5.7,6.4,7.2,7.8,9.2,11.1,12.7,14.2,15.6,17.3,20,22.2,24.1,25.1,25.4,25.7,26.6,27.1,28.1,29.6,30.6,31.2,31.7,32.4,33.8,35,36.4,37.2,38.6,39.5,41.1,44.3,47.7,49.9,52.6,57.4,61.4,67.5,74.5,80.9,80,85.1,88,88.8,89.5,91.2,91.9,93.5,95,99.3,101.8
        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.1,1,1,1,1,1,1.2,1.6,2,2.6,3.4,3.4,3.4,3.3,3.4,4.3,5.2,6.2